,Total,"Less than $10,000:","Less than $10,000:!!With a broadband Internet subscription","$10,000 to $19,999:","$10,000 to $19,999:!!With a broadband Internet subscription","$20,000 to $34,999:","$20,000 to $34,999:!!With a broadband Internet subscription","$35,000 to $49,999:","$35,000 to $49,999:!!With a broadband Internet subscription","$50,000 to $74,999:","$50,000 to $74,999:!!With a broadband Internet subscription","$75,000 or more:","$75,000 or more:!!With a broadband Internet subscription"
"Corinth village, New York: Summary level: 160, state:36> place:18212",981,50,38,117,63,189,99,150,103,218,209,257,241
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",703,79,57,97,97,35,0,16,0,117,75,359,330
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",1821,56,56,17,17,129,68,169,123,240,224,1210,1151
"Thornwood CDP, New York: Summary level: 160, state:36> place:73715",1316,20,20,30,19,87,69,60,60,174,124,945,897
"White Plains city, New York: Summary level: 160, state:36> place:81677",22929,1368,1038,1947,1075,2196,1717,1923,1638,2843,2563,12652,12216
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",829,125,47,113,62,142,101,91,86,166,156,192,192
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",92,0,0,0,0,13,13,0,0,0,0,79,79
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",2203,29,16,150,68,353,249,165,102,317,274,1189,1150
"Scotia village, New York: Summary level: 160, state:36> place:65893",3061,201,174,484,342,348,286,482,415,421,384,1125,1072
"Northville village, New York: Summary level: 160, state:36> place:53770",449,18,18,80,48,86,71,35,7,97,85,133,116
"Cleveland village, New York: Summary level: 160, state:36> place:16188",283,9,9,16,14,68,54,38,29,37,34,115,103
"Mexico village, New York: Summary level: 160, state:36> place:46811",642,31,28,77,36,91,53,61,58,167,155,215,209
"Monticello village, New York: Summary level: 160, state:36> place:48175",2430,331,179,529,285,511,322,369,254,181,170,509,456
"Goshen village, New York: Summary level: 160, state:36> place:29542",1990,30,9,247,137,278,121,234,192,191,117,1010,831
"Highland Falls village, New York: Summary level: 160, state:36> place:34495",1662,46,34,47,38,184,146,246,162,241,226,898,765
"Maybrook village, New York: Summary level: 160, state:36> place:46162",1370,81,32,140,80,196,92,157,151,247,214,549,520
"Lacona village, New York: Summary level: 160, state:36> place:40200",250,20,18,15,3,35,15,12,10,67,63,101,96
"Minetto CDP, New York: Summary level: 160, state:36> place:47680",467,14,9,28,19,72,39,85,69,54,48,214,210
"Liberty village, New York: Summary level: 160, state:36> place:42224",1469,187,143,249,65,273,135,209,164,287,225,264,221
"Monroe village, New York: Summary level: 160, state:36> place:47988",2584,63,0,100,47,175,99,356,305,213,164,1677,1602
"Smallwood CDP, New York: Summary level: 160, state:36> place:67730",241,10,0,0,0,0,0,72,72,13,3,146,126
"Wurtsboro village, New York: Summary level: 160, state:36> place:83272",460,44,18,45,25,55,43,35,32,94,87,187,174
"Montgomery village, New York: Summary level: 160, state:36> place:48142",1573,58,23,161,87,171,120,124,120,224,190,835,754
"Newburgh city, New York: Summary level: 160, state:36> place:50034",9358,1014,341,1384,608,1895,1171,1391,914,1443,985,2231,1785
"Unionville village, New York: Summary level: 160, state:36> place:76210",260,9,9,0,0,44,32,38,31,44,44,125,120
"Washington Heights CDP, New York: Summary level: 160, state:36> place:78421",714,12,12,47,37,58,52,19,19,184,184,394,373
"Verplanck CDP, New York: Summary level: 160, state:36> place:77211",467,0,0,18,18,24,24,31,31,114,53,280,236
"Phoenicia CDP, New York: Summary level: 160, state:36> place:57650",183,13,0,33,18,35,8,53,53,49,49,0,0
"Athens village, New York: Summary level: 160, state:36> place:02902",644,49,26,75,23,112,61,68,65,122,108,218,209
"Accord CDP, New York: Summary level: 160, state:36> place:00155",182,0,0,19,6,16,16,64,64,5,5,78,78
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",464,10,10,45,15,66,45,124,97,70,57,149,149
"Head of the Harbor village, New York: Summary level: 160, state:36> place:32963",479,2,2,43,15,30,30,11,11,38,34,355,341
"Saratoga Springs city, New York: Summary level: 160, state:36> place:65255",12393,244,85,1083,567,1353,918,1140,978,2035,1874,6538,6399
"Owego village, New York: Summary level: 160, state:36> place:55882",1703,198,131,318,185,181,107,233,190,292,254,481,462
"Fort Ann village, New York: Summary level: 160, state:36> place:26704",140,0,0,14,11,29,23,19,14,24,22,54,50
"Lake Success village, New York: Summary level: 160, state:36> place:40937",766,19,19,16,0,26,22,9,3,76,76,620,579
"Pottersville CDP, New York: Summary level: 160, state:36> place:59619",148,0,0,43,43,0,0,28,28,15,5,62,62
"Prattsburgh CDP, New York: Summary level: 160, state:36> place:59708",304,4,4,26,9,80,41,71,63,74,70,49,49
"Prattsville CDP, New York: Summary level: 160, state:36> place:59740",92,13,2,11,3,17,3,23,10,19,19,9,7
"Pultneyville CDP, New York: Summary level: 160, state:36> place:59993",257,0,0,0,0,48,35,33,33,56,48,120,120
"Retsof CDP, New York: Summary level: 160, state:36> place:61236",60,0,0,0,0,13,6,9,9,11,11,27,27
"Rhinecliff CDP, New York: Summary level: 160, state:36> place:61368",132,0,0,0,0,2,2,17,17,15,8,98,98
"Rodman CDP, New York: Summary level: 160, state:36> place:63330",71,0,0,3,3,14,3,18,18,7,7,29,29
"Romulus CDP, New York: Summary level: 160, state:36> place:63429",148,4,0,15,12,24,24,54,43,11,4,40,32
"Rosendale Hamlet CDP, New York: Summary level: 160, state:36> place:63742",506,43,43,94,69,30,30,92,66,94,94,153,149
"St. Regis Falls CDP, New York: Summary level: 160, state:36> place:64716",176,3,3,42,19,33,12,13,13,44,34,41,32
"Salisbury Mills CDP, New York: Summary level: 160, state:36> place:64859",73,0,0,0,0,0,0,0,0,7,7,66,66
"Salt Point CDP, New York: Summary level: 160, state:36> place:64892",55,0,0,19,5,0,0,0,0,6,6,30,30
"Sanborn CDP, New York: Summary level: 160, state:36> place:64958",549,25,0,67,15,77,22,60,60,193,182,127,127
"Savannah CDP, New York: Summary level: 160, state:36> place:65332",195,4,4,32,14,32,15,24,19,53,47,50,50
"Schroon Lake CDP, New York: Summary level: 160, state:36> place:65640",304,23,14,32,18,82,54,43,30,43,43,81,75
"Scio CDP, New York: Summary level: 160, state:36> place:65761",255,15,15,14,10,44,37,34,31,72,64,76,76
"Rushford CDP, New York: Summary level: 160, state:36> place:64155",177,15,12,18,7,38,13,35,12,48,48,23,20
"Scottsburg CDP, New York: Summary level: 160, state:36> place:65926",33,0,0,0,0,3,3,10,10,10,10,10,10
"Smithville Flats CDP, New York: Summary level: 160, state:36> place:68088",152,23,15,6,3,25,7,21,21,27,27,50,42
"South Lima CDP, New York: Summary level: 160, state:36> place:69364",104,0,0,0,0,17,17,26,16,13,13,48,48
"Sparkill CDP, New York: Summary level: 160, state:36> place:70068",560,9,0,48,36,23,23,10,0,50,50,420,420
"Springwater Hamlet CDP, New York: Summary level: 160, state:36> place:70477",156,5,0,20,20,25,16,37,26,27,22,42,42
"Stony Brook University CDP, New York: Summary level: 160, state:36> place:71620",17,0,0,0,0,4,4,0,0,2,2,11,11
"Strykersville CDP, New York: Summary level: 160, state:36> place:71817",282,4,4,21,17,29,10,51,33,61,61,116,98
"Sunset Bay CDP, New York: Summary level: 160, state:36> place:72246",254,0,0,0,0,29,29,46,21,36,6,143,134
"SUNY Oswego CDP, New York: Summary level: 160, state:36> place:72327",7,7,0,0,0,0,0,0,0,0,0,0,0
"Thousand Island Park CDP, New York: Summary level: 160, state:36> place:73726",39,5,5,0,0,9,9,7,4,18,18,0,0
"Three Mile Bay CDP, New York: Summary level: 160, state:36> place:73737",100,13,0,30,16,0,0,20,20,15,15,22,22
"Titusville CDP, New York: Summary level: 160, state:36> place:74017",269,8,8,0,0,13,13,24,24,72,72,152,152
"Tuscarora CDP, New York: Summary level: 160, state:36> place:75726",27,0,0,0,0,0,0,0,0,27,27,0,0
"University at Buffalo CDP, New York: Summary level: 160, state:36> place:76280",95,51,27,18,8,11,11,15,7,0,0,0,0
"Verona CDP, New York: Summary level: 160, state:36> place:77167",351,14,14,15,0,74,74,95,95,66,66,87,44
"Wadsworth CDP, New York: Summary level: 160, state:36> place:77783",123,0,0,0,0,37,0,20,20,21,21,45,45
"Wanakah CDP, New York: Summary level: 160, state:36> place:78124",1275,72,25,53,0,124,60,264,236,170,159,592,572
"Washington Mills CDP, New York: Summary level: 160, state:36> place:78454",725,24,24,0,0,180,164,62,51,213,145,246,232
"Websters Crossing CDP, New York: Summary level: 160, state:36> place:78982",14,0,0,5,5,4,4,0,0,5,5,0,0
"West Chazy CDP, New York: Summary level: 160, state:36> place:79543",233,0,0,22,14,43,17,80,73,27,20,61,61
"Westmoreland CDP, New York: Summary level: 160, state:36> place:80522",318,0,0,0,0,102,0,0,0,72,72,144,144
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",210,3,0,18,4,18,13,35,18,41,30,95,69
"Port Gibson CDP, New York: Summary level: 160, state:36> place:59322",162,0,0,37,37,13,13,28,28,9,9,75,49
"Busti CDP, New York: Summary level: 160, state:36> place:11440",99,0,0,8,8,10,10,19,19,25,17,37,37
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",17,0,0,6,3,0,0,0,0,7,7,4,4
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",110,0,0,0,0,35,35,0,0,11,11,64,64
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",254,0,0,49,37,66,47,53,47,5,5,81,65
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",222,0,0,0,0,47,32,22,22,44,44,109,93
"Tuckahoe CDP, New York: Summary level: 160, state:36> place:75572",365,37,28,30,0,33,22,25,25,84,84,156,156
"Millport village, New York: Summary level: 160, state:36> place:47427",152,26,16,19,17,30,24,18,9,15,10,44,36
"Richville village, New York: Summary level: 160, state:36> place:61621",109,1,1,26,16,17,13,16,15,15,14,34,34
"Red Creek village, New York: Summary level: 160, state:36> place:60829",215,24,10,15,13,59,54,29,22,42,34,46,40
"Wolcott village, New York: Summary level: 160, state:36> place:82678",726,72,48,149,71,166,90,102,67,137,125,100,100
"Wappingers Falls village, New York: Summary level: 160, state:36> place:78168",2098,102,102,161,109,422,234,202,186,456,438,755,673
"Alexander village, New York: Summary level: 160, state:36> place:01154",236,13,2,9,7,30,25,32,19,81,71,71,69
"West Sayville CDP, New York: Summary level: 160, state:36> place:80885",1604,56,29,93,68,127,53,135,107,202,193,991,917
"Wheatley Heights CDP, New York: Summary level: 160, state:36> place:81419",1300,36,12,59,48,123,100,91,77,116,105,875,771
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",523,0,0,0,0,32,32,20,20,49,49,422,351
"Frankfort village, New York: Summary level: 160, state:36> place:27188",940,47,33,76,20,173,118,161,128,203,151,280,249
"Ilion village, New York: Summary level: 160, state:36> place:37275",3094,192,126,430,258,534,446,425,390,526,425,987,910
"Kensington village, New York: Summary level: 160, state:36> place:39309",421,21,8,11,8,20,16,31,31,35,35,303,294
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",21474,2397,1222,3804,1890,4451,2593,2853,2074,3268,2635,4701,4226
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",13645,734,358,1142,515,2204,1412,1821,1479,3019,2567,4725,4493
"Ransomville CDP, New York: Summary level: 160, state:36> place:60598",562,0,0,24,10,91,66,55,49,73,61,319,302
"Hewlett Bay Park village, New York: Summary level: 160, state:36> place:34297",133,2,2,0,0,2,2,5,5,2,2,122,117
"Hewlett Harbor village, New York: Summary level: 160, state:36> place:34308",378,15,15,0,0,9,9,31,31,19,16,304,286
"Lake Placid village, New York: Summary level: 160, state:36> place:40761",940,58,45,188,133,79,69,71,34,262,173,282,282
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",4792,214,157,535,260,787,642,911,668,750,627,1595,1395
"Manchester village, New York: Summary level: 160, state:36> place:44853",742,10,7,35,23,121,70,169,107,187,146,220,210
"Cato village, New York: Summary level: 160, state:36> place:12958",233,16,8,10,7,18,16,61,47,55,52,73,62
"Moravia village, New York: Summary level: 160, state:36> place:48296",572,47,30,69,43,107,70,74,47,109,102,166,148
"East Williston village, New York: Summary level: 160, state:36> place:23217",801,11,11,37,31,14,5,18,14,75,59,646,632
"Flower Hill village, New York: Summary level: 160, state:36> place:26352",1571,36,36,45,37,58,24,64,31,149,133,1219,1166
"Chaumont village, New York: Summary level: 160, state:36> place:14036",267,4,2,22,12,39,32,51,49,33,31,118,108
"Fort Drum CDP, New York: Summary level: 160, state:36> place:26759",3248,188,188,132,114,748,708,669,642,847,821,664,641
"Mannsville village, New York: Summary level: 160, state:36> place:45073",122,0,0,2,2,15,10,20,16,37,33,48,48
"Nelliston village, New York: Summary level: 160, state:36> place:49748",218,2,2,31,9,51,26,18,11,71,64,45,34
"Firthcliffe CDP, New York: Summary level: 160, state:36> place:25857",2012,50,27,112,40,192,88,241,115,392,392,1025,927
"Seaford CDP, New York: Summary level: 160, state:36> place:66058",5083,103,48,64,51,175,116,266,219,548,454,3927,3782
"Wyoming village, New York: Summary level: 160, state:36> place:83371",153,6,2,16,10,22,18,15,11,34,30,60,58
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",738,0,0,50,50,106,70,54,54,89,89,439,411
"Hammond village, New York: Summary level: 160, state:36> place:31830",107,11,4,25,6,25,23,17,11,10,9,19,17
"Harrisville village, New York: Summary level: 160, state:36> place:32424",232,15,10,38,28,15,13,36,29,46,42,82,77
"Clinton village, New York: Summary level: 160, state:36> place:16419",727,13,13,40,30,77,46,83,77,141,130,373,363
"Alden village, New York: Summary level: 160, state:36> place:01088",1173,76,28,98,33,177,122,131,93,255,236,436,408
"Sodus Point village, New York: Summary level: 160, state:36> place:68242",462,14,14,45,33,92,45,88,73,83,75,140,126
"Hillside Lake CDP, New York: Summary level: 160, state:36> place:34803",339,0,0,16,7,41,32,21,21,27,27,234,234
"Churchville village, New York: Summary level: 160, state:36> place:15638",911,0,0,78,60,150,119,87,76,211,183,385,361
"West Nyack CDP, New York: Summary level: 160, state:36> place:80599",1470,56,36,66,15,37,19,68,55,178,128,1065,1065
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",117,9,9,13,0,34,21,13,11,23,21,25,23
"Chatham village, New York: Summary level: 160, state:36> place:14003",713,20,12,101,58,147,115,75,55,89,84,281,257
"Spencerport village, New York: Summary level: 160, state:36> place:70189",1438,65,51,52,52,191,139,197,188,244,244,689,689
"Sayville CDP, New York: Summary level: 160, state:36> place:65409",5547,132,75,200,88,491,298,360,287,681,615,3683,3471
"Wading River CDP, New York: Summary level: 160, state:36> place:77772",2642,144,55,63,26,128,103,147,95,322,235,1838,1774
"Argyle village, New York: Summary level: 160, state:36> place:02550",206,4,0,49,7,37,26,35,24,23,19,58,49
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",203,44,0,0,0,3,3,0,0,32,32,124,124
"Allegany village, New York: Summary level: 160, state:36> place:01286",742,74,66,77,53,86,71,112,97,145,128,248,242
"Sag Harbor village, New York: Summary level: 160, state:36> place:64485",993,73,73,98,0,31,23,119,37,110,61,562,465
"Franklinville village, New York: Summary level: 160, state:36> place:27331",633,30,15,91,13,128,57,105,84,162,140,117,113
"Hillside CDP, New York: Summary level: 160, state:36> place:34786",342,16,16,14,14,13,13,6,6,88,84,205,191
"North Collins village, New York: Summary level: 160, state:36> place:51792",478,30,16,79,28,74,42,61,42,90,80,144,132
"East Atlantic Beach CDP, New York: Summary level: 160, state:36> place:21578",760,7,7,25,25,32,9,89,89,76,70,531,483
"Malverne Park Oaks CDP, New York: Summary level: 160, state:36> place:44792",151,0,0,0,0,10,10,0,0,13,13,128,112
"Oceanside CDP, New York: Summary level: 160, state:36> place:54441",10618,250,167,637,396,670,420,749,543,1062,987,7250,7117
"Adams village, New York: Summary level: 160, state:36> place:00199",642,69,36,111,69,74,64,68,62,79,67,241,235
"Ellisburg village, New York: Summary level: 160, state:36> place:24075",89,11,9,4,4,12,6,13,13,26,21,23,20
"Philadelphia village, New York: Summary level: 160, state:36> place:57551",486,53,53,80,48,131,93,58,31,66,63,98,98
"Hobart village, New York: Summary level: 160, state:36> place:34979",169,3,0,14,9,16,12,43,26,45,37,48,45
"Theresa village, New York: Summary level: 160, state:36> place:73517",278,22,15,15,12,54,49,39,34,52,52,96,94
"Watertown city, New York: Summary level: 160, state:36> place:78608",11110,1183,645,1476,853,2185,1769,1972,1591,2049,1601,2245,2156
"Morris village, New York: Summary level: 160, state:36> place:48483",219,16,2,18,16,45,34,43,23,48,46,49,39
"Otego village, New York: Summary level: 160, state:36> place:55618",414,25,12,45,26,73,48,62,58,97,91,112,106
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",552,24,20,56,33,51,41,46,40,120,112,255,246
"Hampton Manor CDP, New York: Summary level: 160, state:36> place:31918",979,91,60,48,31,169,108,191,111,128,128,352,352
"Poestenkill CDP, New York: Summary level: 160, state:36> place:58794",427,57,0,0,0,63,26,35,35,46,31,226,201
"Windham CDP, New York: Summary level: 160, state:36> place:82469",133,11,7,12,6,10,6,18,4,13,7,69,66
"Wilson village, New York: Summary level: 160, state:36> place:82359",506,31,0,48,30,71,41,91,88,89,79,176,168
"Mariaville Lake CDP, New York: Summary level: 160, state:36> place:45573",134,0,0,27,10,4,4,18,18,29,15,56,48
"Altona CDP, New York: Summary level: 160, state:36> place:01572",105,5,0,25,0,27,22,8,8,37,19,3,3
"Parc CDP, New York: Summary level: 160, state:36> place:56291",27,0,0,0,0,10,5,11,0,6,6,0,0
"Brewster village, New York: Summary level: 160, state:36> place:08070",791,74,48,56,45,129,125,118,91,106,87,308,243
"Afton village, New York: Summary level: 160, state:36> place:00342",436,21,6,103,48,56,14,50,38,69,57,137,125
"Smyrna village, New York: Summary level: 160, state:36> place:68099",107,10,0,26,12,28,22,15,9,12,8,16,9
"Oneida city, New York: Summary level: 160, state:36> place:54837",4436,466,240,394,237,782,666,609,456,1083,987,1102,1036
"Sea Cliff village, New York: Summary level: 160, state:36> place:66047",1909,137,98,97,87,78,70,106,66,137,107,1354,1296
"Valley Stream village, New York: Summary level: 160, state:36> place:76705",12116,397,270,306,171,880,673,832,713,1720,1391,7981,7418
"Cazenovia village, New York: Summary level: 160, state:36> place:13145",945,85,60,126,64,168,105,79,51,127,96,360,344
"Earlville village, New York: Summary level: 160, state:36> place:21523",414,40,26,45,26,61,36,58,47,77,74,133,119
"Cortland city, New York: Summary level: 160, state:36> place:18388",6537,484,226,1017,499,1119,629,1064,750,1108,968,1745,1482
"Albertson CDP, New York: Summary level: 160, state:36> place:01011",1795,28,28,72,18,75,57,114,89,206,160,1300,1245
"Bath village, New York: Summary level: 160, state:36> place:04759",2728,192,22,633,276,552,354,346,293,442,322,563,499
"South Corning village, New York: Summary level: 160, state:36> place:68847",533,37,25,39,14,111,71,41,28,148,115,157,148
"Wayland village, New York: Summary level: 160, state:36> place:78850",757,46,33,91,59,115,58,117,106,142,118,246,229
"Tully village, New York: Summary level: 160, state:36> place:75627",425,15,7,56,30,81,45,84,54,46,38,143,132
"Marcellus village, New York: Summary level: 160, state:36> place:45480",822,19,9,93,53,147,111,110,94,114,85,339,328
"Syracuse city, New York: Summary level: 160, state:36> place:73000",55306,7745,3538,9087,4419,10008,6270,7950,5456,8187,6537,12329,11053
"Warsaw village, New York: Summary level: 160, state:36> place:78333",1544,73,14,219,91,312,104,269,209,254,239,417,417
"Cohocton village, New York: Summary level: 160, state:36> place:16727",309,22,8,42,24,36,23,55,42,72,66,82,76
"Hammondsport village, New York: Summary level: 160, state:36> place:31852",269,20,11,58,25,54,39,33,33,45,32,59,59
"Northeast Ithaca CDP, New York: Summary level: 160, state:36> place:51915",1062,53,53,46,19,113,113,119,91,261,238,470,463
"Schenectady city, New York: Summary level: 160, state:36> place:65508",22694,1787,969,3234,1961,4083,2949,3269,2523,4195,3559,6126,5568
"Fulton city, New York: Summary level: 160, state:36> place:27815",4662,442,288,723,348,756,534,652,548,835,728,1254,1202
"Hannibal village, New York: Summary level: 160, state:36> place:32017",206,16,6,19,14,33,19,34,31,59,54,45,45
"Jeffersonville village, New York: Summary level: 160, state:36> place:38506",150,0,0,24,2,25,11,23,23,32,28,46,33
"Livingston Manor CDP, New York: Summary level: 160, state:36> place:42928",387,35,20,0,0,133,117,20,20,80,35,119,119
"Dresden village, New York: Summary level: 160, state:36> place:20896",117,0,0,8,1,18,18,23,22,35,32,33,33
"Whitehall village, New York: Summary level: 160, state:36> place:81622",904,42,17,156,42,209,102,128,109,164,133,205,176
"Nesconset CDP, New York: Summary level: 160, state:36> place:49825",4609,57,28,126,126,191,154,358,243,553,497,3324,3188
"New Suffolk CDP, New York: Summary level: 160, state:36> place:50727",117,16,16,3,3,10,10,5,5,40,40,43,37
"North Amityville CDP, New York: Summary level: 160, state:36> place:51396",4952,294,168,350,200,578,356,535,375,769,617,2426,2158
"Roslyn village, New York: Summary level: 160, state:36> place:63770",1310,38,33,42,30,123,53,148,120,183,178,776,724
"Dansville village, New York: Summary level: 160, state:36> place:19664",2036,203,190,359,248,343,220,263,131,348,306,520,437
"Nunda village, New York: Summary level: 160, state:36> place:54078",538,61,24,115,100,97,62,50,25,105,96,110,89
"Leeds CDP, New York: Summary level: 160, state:36> place:41784",96,0,0,0,0,30,30,0,0,28,11,38,38
"Fairview CDP (Westchester County), New York: Summary level: 160, state:36> place:25120",1092,63,15,75,59,266,167,173,119,155,87,360,351
"Coxsackie village, New York: Summary level: 160, state:36> place:18718",1038,52,20,157,73,152,58,74,22,233,169,370,337
"Hunter village, New York: Summary level: 160, state:36> place:36167",305,58,42,83,42,75,75,27,27,41,41,21,21
"Glasco CDP, New York: Summary level: 160, state:36> place:29014",973,68,68,125,67,192,132,81,46,198,190,309,300
"Kingston city, New York: Summary level: 160, state:36> place:39727",9361,507,345,1301,707,1721,1068,1301,1102,1779,1597,2752,2598
"Plattekill CDP, New York: Summary level: 160, state:36> place:58541",311,0,0,43,24,69,57,51,31,46,36,102,102
"Natural Bridge CDP, New York: Summary level: 160, state:36> place:49605",135,13,13,30,30,14,0,0,0,78,78,0,0
"Laurens village, New York: Summary level: 160, state:36> place:41520",77,2,0,3,3,19,14,17,14,23,22,13,11
"Ellenville village, New York: Summary level: 160, state:36> place:23965",1592,229,215,155,108,209,179,318,297,345,345,336,287
"Gardiner CDP, New York: Summary level: 160, state:36> place:28244",307,0,0,0,0,0,0,23,23,121,121,163,146
"Hurley CDP, New York: Summary level: 160, state:36> place:37132",1398,39,27,97,69,169,86,113,70,184,170,796,773
"Shokan CDP, New York: Summary level: 160, state:36> place:67081",453,12,0,74,55,28,16,50,23,169,169,120,105
"Zena CDP, New York: Summary level: 160, state:36> place:84187",433,6,6,16,16,82,82,12,12,63,56,254,254
"Averill Park CDP, New York: Summary level: 160, state:36> place:03320",610,16,0,0,0,66,66,100,100,130,114,298,298
"Rensselaer city, New York: Summary level: 160, state:36> place:61148",4109,288,115,313,151,689,433,477,373,932,814,1410,1269
"Oxford village, New York: Summary level: 160, state:36> place:55948",680,47,34,129,75,132,80,120,86,95,71,157,154
"Bayville village, New York: Summary level: 160, state:36> place:05034",2500,13,7,101,60,188,182,168,158,437,387,1593,1523
"Bethpage CDP, New York: Summary level: 160, state:36> place:06387",5911,114,49,334,153,585,350,446,339,644,592,3788,3685
"Carle Place CDP, New York: Summary level: 160, state:36> place:12419",1757,27,19,106,88,212,192,114,114,288,214,1010,955
"Rifton CDP, New York: Summary level: 160, state:36> place:61797",128,28,28,0,0,11,11,0,0,24,24,65,65
"Saugerties village, New York: Summary level: 160, state:36> place:65288",1765,90,70,309,115,274,175,281,192,306,296,505,455
"Walker Valley CDP, New York: Summary level: 160, state:36> place:77948",355,19,19,60,60,13,13,12,12,13,13,238,238
"Geneva city, New York: Summary level: 160, state:36> place:28640",4545,434,253,685,385,775,543,783,668,652,530,1216,1102
"Bolivar village, New York: Summary level: 160, state:36> place:07190",435,29,24,71,19,89,54,80,78,65,49,101,94
"Cuba village, New York: Summary level: 160, state:36> place:19356",582,56,29,79,45,90,38,74,65,83,83,200,197
"Wellsville village, New York: Summary level: 160, state:36> place:79092",2164,156,73,396,249,338,221,449,363,449,360,376,342
"Green Island village, New York: Summary level: 160, state:36> place:30521",1247,67,21,59,16,275,121,208,162,249,208,389,357
"Sloan village, New York: Summary level: 160, state:36> place:67686",1640,97,37,269,80,303,159,229,192,298,255,444,366
"Aurora village, New York: Summary level: 160, state:36> place:03188",118,4,0,3,3,13,12,16,11,14,6,68,64
"Cayuga village, New York: Summary level: 160, state:36> place:13068",220,1,1,29,13,19,13,43,35,38,33,90,83
"Weedsport village, New York: Summary level: 160, state:36> place:79015",769,38,28,80,9,108,44,120,96,181,151,242,225
"Mooers CDP, New York: Summary level: 160, state:36> place:48241",229,19,0,0,0,61,21,39,39,73,58,37,37
"Lakeland CDP, New York: Summary level: 160, state:36> place:40607",1094,9,9,70,26,187,142,128,99,248,205,452,371
"Skaneateles village, New York: Summary level: 160, state:36> place:67510",1089,33,23,86,44,112,69,46,36,167,144,645,640
"Warrensburg CDP, New York: Summary level: 160, state:36> place:78289",1398,56,46,244,78,300,135,141,77,271,261,386,374
"Little Falls city, New York: Summary level: 160, state:36> place:42741",1820,136,73,399,243,288,174,234,199,326,254,437,437
"Newport village, New York: Summary level: 160, state:36> place:50573",253,22,13,39,14,59,35,34,13,31,31,68,61
"Copake Lake CDP, New York: Summary level: 160, state:36> place:18124",228,0,0,20,13,29,29,71,37,27,27,81,81
"Granville village, New York: Summary level: 160, state:36> place:30026",1146,105,40,268,121,161,89,165,126,193,167,254,237
"Victory village, New York: Summary level: 160, state:36> place:77431",204,0,0,16,12,27,16,31,29,34,32,96,90
"Bay Shore CDP, New York: Summary level: 160, state:36> place:04935",9081,378,233,841,546,970,755,719,553,1545,1400,4628,4435
"Calverton CDP, New York: Summary level: 160, state:36> place:11781",3330,191,78,532,378,386,291,388,262,623,494,1210,1074
"Commack CDP, New York: Summary level: 160, state:36> place:17530",11978,260,129,493,308,718,417,694,548,1152,940,8661,8216
"Dering Harbor village, New York: Summary level: 160, state:36> place:20379",0,0,0,0,0,0,0,0,0,0,0,0,0
"East Hampton village, New York: Summary level: 160, state:36> place:22183",517,30,17,49,26,38,29,42,39,80,80,278,254
"Islandia village, New York: Summary level: 160, state:36> place:37840",960,37,26,29,23,73,44,78,65,100,80,643,580
"Lake Grove village, New York: Summary level: 160, state:36> place:40530",3894,102,92,207,120,313,225,263,230,374,299,2635,2429
"Laurel CDP, New York: Summary level: 160, state:36> place:41465",408,37,37,0,0,69,46,0,0,77,77,225,208
"Middle Island CDP, New York: Summary level: 160, state:36> place:46976",4146,247,108,297,210,454,318,563,523,676,570,1909,1818
"North Babylon CDP, New York: Summary level: 160, state:36> place:51440",5646,238,159,236,107,397,333,501,414,724,649,3550,3382
"North Bellport CDP, New York: Summary level: 160, state:36> place:51528",3530,406,230,222,130,403,268,436,402,557,509,1506,1356
"Ocean Beach village, New York: Summary level: 160, state:36> place:54430",14,5,0,1,1,0,0,1,0,0,0,7,6
"Endicott village, New York: Summary level: 160, state:36> place:24515",5697,521,324,1069,660,1076,795,745,511,956,794,1330,1205
"Endwell CDP, New York: Summary level: 160, state:36> place:24526",5207,264,168,498,300,757,459,680,564,877,730,2131,1956
"Amenia CDP, New York: Summary level: 160, state:36> place:01682",444,46,46,9,0,82,7,71,19,50,50,186,143
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",968,37,0,66,66,67,45,71,43,135,126,592,558
"Dover Plains CDP, New York: Summary level: 160, state:36> place:20841",544,57,0,95,40,106,65,74,41,99,13,113,107
"Fairview CDP (Dutchess County), New York: Summary level: 160, state:36> place:25109",1759,101,79,213,165,262,223,134,118,157,132,892,870
